"","Total Votes","County","County Office","Candidate","Party","Candidate Type","Election Votes","Percent"
"283","1,133","Calhoun County","Race: County Commissioner Pct. 1","DAVID HALL","R","I","1,133",100
"284","1,672","Calhoun County","Race: County Commissioner Pct. 3","JOEL M. BEHRENS","R","N","1,672",100
"285","6,542","Calhoun County","Race: Sheriff","BOBBIE VICKERY","R","I","6,542",100
"286","6,320","Calhoun County","Race: Tax Assessor-Collector","KERRI JEAN BOYD","R","N","6,320",100
"287","1,024","Callahan County","Race: Constable","ED DUNCAN","R","I","1,024",100
"288","1,546","Callahan County","Race: County Commissioner Pct. 1","RICK MCGOWEN","R","N","1,546",100
"289","1,459","Callahan County","Race: County Commissioner Pct. 3","TOM WINDHAM","R","I","1,459",100
"290","6,086","Callahan County","Race: District/County Attorney","SHANE DEEL","R","I","6,086",100
"291","6,329","Callahan County","Race: Sheriff","ERIC PECHACEK","R","N","5,500",86.9015642281561
"292","6,252","Callahan County","Race: Tax Assessor-Collector","TAMMY T. WALKER","R","I","6,252",100
"293","6,573","Cameron County","Race: Constable Pct. 1","DANIEL HOLLAND","D","N","2,848",43.3287692073635
"294","6,573","Cameron County","Race: Constable Pct. 1","NORMAN ESQUIVEL JR","R","N","3,725",56.6712307926365
"295","1","Cameron County","Race: Constable Pct. 2","ABELARDO ""ABEL"" GOMEZ JR","D","I","1",100
"296","1","Cameron County","Race: Constable Pct. 3","ADRIAN GONZALEZ","D","I","1",100
"297","1","Cameron County","Race: Constable Pct. 4","MERCED BURNIAS JR","D","I","1",100
"298","1","Cameron County","Race: Constable Pct. 5","EDDIE SOLIS","D","I","1",100
"299","1","Cameron County","Race: County Commissioner Pct. 1","SOFIA C.  BENAVIDES","D","I","1",100
"300","1","Cameron County","Race: County Commissioner Pct. 3","DAVID A. GARZA","D","I","1",100
"301","106,644","Cameron County","Race: District Clerk","LAURA PEREZ-REYES","D","N","66,363",62.2285360639136
"302","106,644","Cameron County","Race: District Clerk","MIRLA VERONICA DEATON","R","N","40,281",37.7714639360864
"303","1","Cameron County","Race: District/County Attorney","LUIS V. SAENZ","D","I","1",100
"304","1","Cameron County","Race: Justice of the Peace Pct. 2 Place 1","LINDA SALAZAR","D","I","1",100
"305","28,188","Cameron County","Race: Justice of the Peace Pct. 5 Place 1","CHARLES ""CHUCK"" VIEH","R","N","12,224",43.36597133532
"306","28,188","Cameron County","Race: Justice of the Peace Pct. 5 Place 1","DORA (SALLIE)  GONZALEZ","D","I","15,964",56.63402866468
"307","1","Cameron County","Race: Justice of the Peace Pct. 5 Place 3","JANIE JAIMEZ","D","N","1",100
"308","107,589","Cameron County","Race: Sheriff","ERIC GARZA","D","N","66,566",61.8706373328128
"309","107,589","Cameron County","Race: Sheriff","JOHN CHAMBERS","R","N","41,023",38.1293626671872
"310","1","Cameron County","Race: Tax Assessor-Collector","ANTONIO ""TONY"" YZAGUIRRE JR","D","I","1",100
"311","4,078","Camp County","Race: Constable","SHAWN KENNINGTON","R","I","4,078",100
"312","4,084","Camp County","Race: County Attorney","JAMES ""JAS"" WALLACE III","R","I","4,084",100
"313","1,205","Camp County","Race: County Commissioner Pct. 1","CEDRIC R. HAWKINS","D","N","399",33.1120331950207
"314","1,205","Camp County","Race: County Commissioner Pct. 1","GEORGE L. FRENCH","R","I","806",66.8879668049792
"315","985","Camp County","Race: County Commissioner Pct. 3","LH ""CALHOUN"" HENDERSON","D","I","440",44.6700507614213
"316","985","Camp County","Race: County Commissioner Pct. 3","PERRY WEEKS","R","N","545",55.3299492385787
"317","4057/4058","Camp County","Race: District Attorney 76th Judicial District","DAVID COLLEY","R","N","4057/4058",NA
"318","4,115","Camp County","Race: Sheriff","JOHN CORTELYOU","R","N","4,115",100
"319","3,711","Camp County","Race: Tax Assessor-Collector","MISSY GRIFFIN HUFFMAN","R","N","3,711",100
"320","2,951","Carson County","Race: County Attorney","SCOTT SHERWOOD","R","I","2,951",100
"321","672","Carson County","Race: County Commissioner Pct. 1","MIKE BRITTEN","R","I","672",100
"322","701","Carson County","Race: County Commissioner Pct. 3","MICHAEL JENNINGS","R","I","701",100
"323","2934/8451","Carson County","Race: District Attorney 100th Judicial District","LUKE MCLEAN INMAN","R","I","2934/8451",NA
"324","2,948","Carson County","Race: Sheriff","TAM TERRY","R","N","2,948",100
"325","2,967","Carson County","Race: Tax Assessor-Collector","JACKIE MOORE","R","I","2,967",100
"326","1","Cass County","Race: Constable Pct. 1","ALTON MCWATERS","R","I","1",100
"327","1","Cass County","Race: Constable Pct. 2","ANTHONY HARRISON","R","I","1",100
"328","1","Cass County","Race: Constable Pct. 3","JOHN SMITH","R","I","1",100
"329","1","Cass County","Race: Constable Pct. 4","DON RICH","R","I","1",100
"330","1","Cass County","Race: County Commissioner Pct. 1","BRETT FITTS","R","I","1",100
"331","1","Cass County","Race: County Commissioner Pct. 3","PAUL COTHREN","R","I","1",100
"332","1","Cass County","Race: Sheriff","LARRY ROWE","R","I","1",100
"333","1","Cass County","Race: Tax Assessor-Collector","ANGELA YOUNG","R","I","1",100
"334","219","Castro County","Race: Constable","SAMUEL CAVAZOS","R","N","219",100
"335","224","Castro County","Race: County Commissioner Pct. 1","PAUL RAMIREZ","R","I","224",100
"336","483","Castro County","Race: County Commissioner Pct. 3","MICHAEL GOOLSBY","R","I","483",100
"337","219","Castro County","Race: District/County Attorney","SHALYN HAMLIN","R","I","219",100
"338","227","Castro County","Race: Sheriff","SAL RIVERA","R","I","227",100
"339","228","Castro County","Race: Tax Assessor-Collector","PAMALA RICKERT","R","I","228",100
"340","2,202","Chambers County","Race: Constable Pct. 1","DENNIS DUGAT","R","I","2,202",100
"341","1,606","Chambers County","Race: Constable Pct. 2","JOHN ""BIG JOHN"" MULRYAN","R","N","1,606",100
"342","486","Chambers County","Race: Constable Pct. 3","DONNIE STANDLEY","R","I","486",100
"343","6,131","Chambers County","Race: Constable Pct. 4","BEN L. ""BUTCH"" BEAN JR","R","I","6,131",100
"344","807","Chambers County","Race: Constable Pct. 5","BRADLEY MOON","R","N","807",100
"345","7,479","Chambers County","Race: Constable Pct. 6","KIRK W RITCH","R","N","7,479",100
"346","18,300","Chambers County","Race: County Attorney","SCOTT R PEAL","R","I","18,300",100
"347","3,322","Chambers County","Race: County Commissioner Pct. 1","JIMMY GORE","R","I","3,322",100
"348","6,120","Chambers County","Race: County Commissioner Pct. 3","TOMMY HAMMOND","R","N","6,120",100
"349","18263/18263","Chambers County","Race: District Attorney 344th Judicial District","CHERYL SWOPE LIECK","R","I","18263/18263",NA
"350","18,250","Chambers County","Race: Sheriff","BRIAN HAWTHORNE","R","I","18,250",100
"351","18,663","Chambers County","Race: Tax Assessor-Collector","DENISE HUTTER","R","I","18,663",100
"352","1","Cherokee County","Race: Constable Pct. 1","EDWARD KELLEY","R","I","1",100
"353","1","Cherokee County","Race: Constable Pct. 2","JACK L. WHITE","R","I","1",100
"354","1","Cherokee County","Race: Constable Pct. 2","MARK W GREEN","D","N","0",0
"355","1","Cherokee County","Race: Constable Pct. 3","EDWARD LEE","R","I","1",100
"356","1","Cherokee County","Race: Constable Pct. 4","JAMES BEENE","R","I","1",100
"357","1","Cherokee County","Race: County Attorney","DANA YOUNG","R","I","1",100
"358","1","Cherokee County","Race: County Commissioner Pct. 1","KELLY TRAYLOR","R","I","1",100
"359","1","Cherokee County","Race: County Commissioner Pct. 3","PATRICK REAGAN","R","I","1",100
"360","15511/15511","Cherokee County","Race: District Attorney 2nd Judicial District","ELMER BECKWORTH","R","I","15511/15511",NA
"361","1","Cherokee County","Race: Sheriff","BRENT DICKSON","R","N","1",100
"362","1","Cherokee County","Race: Tax Assessor-Collector","SHONDA POTTER","R","N","1",100
"363","2,176","Childress County","Race: Constable","DANIEL HERNANDEZ","R","I","2,176",100
"364","2,169","Childress County","Race: County Attorney","GREG BUCKLEY","R","I","2,169",100
"365","492","Childress County","Race: County Commissioner Pct. 1","JEREMY HILL","R","I","492",100
"366","485","Childress County","Race: County Commissioner Pct. 3","KEVIN HACKLER","R","N","485",100
"367","2133/8451","Childress County","Race: District Attorney 100th Judicial District","LUKE MCLEAN INMAN","R","I","2133/8451",NA
"368","2,115","Childress County","Race: Sheriff","MIKE PIGG","R","I","2,115",100
"369","2,195","Childress County","Race: Tax Assessor-Collector","KATHY DOBBS","R","I","2,195",100
"370","1","Clay County","Race: Constable","SIDNEY KIRK HORTON","R","I","1",100
"371","1","Clay County","Race: County Attorney","SETH C. SLAGLE","R","I","1",100
"372","1","Clay County","Race: County Commissioner Pct. 1","RICHARD LOWERY","R","I","1",100
"373","1","Clay County","Race: County Commissioner Pct. 3","RETTA COLLINS","R","N","1",100
"374","1/13398","Clay County","Race: District Attorney 97th Judicial District","CASEY POLHEMUS","R","I","1/13398",NA
"375","1","Clay County","Race: Sheriff","JEFFERY LYDE","R","N","1",100
"376","1","Clay County","Race: Tax Assessor-Collector","MARIBEL LONGORIA","R","I","1",100
"377","878","Cochran County","Race: Constable","RICKY DAVIDSON","R","N","878",100
"378","0","Cochran County","Race: County Attorney","VACANT***","D","N","0",NA
"379","248","Cochran County","Race: County Commissioner Pct. 1","TIMOTHY ROBERTS","R","I","248",100
"380","250","Cochran County","Race: County Commissioner Pct. 3","ERIC SILHAN","R","I","250",100
"381","905/906","Cochran County","Race: District Attorney 286th Judicial District","ANGELA OVERMAN","R","I","905/906",NA
"382","870","Cochran County","Race: Sheriff","JORGE DE LA CRUZ","R","I","870",100
"383","937","Cochran County","Race: Tax Assessor-Collector","TREVA JACKSON","R","I","937",100
"384","1,550","Coke County","Race: Constable","MARTY BOYD","R","I","1,550",100
"385","1,532","Coke County","Race: County Attorney","NICHOLAS ARROTT II","R","I","1,532",100
"386","357","Coke County","Race: County Commissioner Pct. 1","DONALD ROBERTSON","R","I","357",100
"387","388","Coke County","Race: County Commissioner Pct. 3","MARSHALL MILLICAN","R","I","388",100
"388","1470/38926","Coke County","Race: District Attorney 51st Judicial District","ALLISON PALMER","R","I","1470/38926",NA
"389","1,590","Coke County","Race: Sheriff","WAYNE MCCUTCHEN","R","I","1,590",100
"390","1,553","Coke County","Race: Tax Assessor-Collector","JOSEFINE DEAN","R","I","1,553",100
"391","3,700","Coleman County","Race: Constable","MIKE BARKER","R","N","3,700",100
"392","3,833","Coleman County","Race: County Attorney","HAYDEN WISE","R","N","3,833",100
"393","960","Coleman County","Race: County Commissioner Pct. 1","MATT HENDERSON","R","N","960",100
"394","1,013","Coleman County","Race: County Commissioner Pct. 2","JIM RICE","R","N","1,013",100
"395","791","Coleman County","Race: County Commissioner Pct. 3","SCOTTY LAWRENCE","R","I","791",100
"396","3791/3791","Coleman County","Race: District Attorney 42nd Judicial District","HEATH HEMPHILL","R","I","3791/3791",NA
"397","3,770","Coleman County","Race: Sheriff","LES COGDILL","R","I","3,770",100
"398","3,857","Coleman County","Race: Tax Assessor-Collector","JAMIE TRAMMELL","R","I","3,857",100
"399","46,946","Collin County","Race: Constable Pct. 1","MIKE VANCE","R","N","46,946",100
"400","37,906","Collin County","Race: Constable Pct. 2","GARY EDWARDS","R","I","37,906",100
"401","114,533","Collin County","Race: Constable Pct. 3","SAMMY KNAPP","R","I","114,533",100
"402","100,956","Collin County","Race: Constable Pct. 4","JOE WRIGHT","R","I","100,956",100
"403","135,242","Collin County","Race: County Commissioner Pct. 1","COURTNEY BROOKS","D","N","55,574",41.092264237441
"404","135,242","Collin County","Race: County Commissioner Pct. 1","SUSAN FLETCHER","R","I","79,668",58.907735762559
"405","124,085","Collin County","Race: County Commissioner Pct. 3","DARRELL HALE","R","I","75,771",61.0637869202563
"406","124,085","Collin County","Race: County Commissioner Pct. 3","DIANNE C. MAYO","D","N","48,314",38.9362130797437
"407","304,214","Collin County","Race: Sheriff","JAMES SKINNER","R","I","304,214",100
"408","457,948","Collin County","Race: Tax Assessor-Collector","JOHN TURNER-MCCLELLAND","D","N","188,538",41.1701765265925
"409","457,948","Collin County","Race: Tax Assessor-Collector","KENNETH L. MAUN","R","I","269,410",58.8298234734075
"410","979","Collingsworth County","Race: Constable","RONNIE WARD","R","I","979",100
"411","1,007","Collingsworth County","Race: County Attorney","KEITH DAVIS","R","I","1,007",100
"412","421","Collingsworth County","Race: County Commissioner Pct. 1","FARRIS NATION","R","N","335",79.5724465558195
"413","421","Collingsworth County","Race: County Commissioner Pct. 1","SHELLY E. BRIM","D","N","86",20.4275534441805
"414","229","Collingsworth County","Race: County Commissioner Pct. 3","EDDIE ORR","R","I","229",100
"415","1046/8451","Collingsworth County","Race: District Attorney 100th Judicial District","LUKE MCLEAN INMAN","R","I","1046/8451",NA
"416","1,014","Collingsworth County","Race: Sheriff","KENT RILEY","R","I","1,014",100
"417","1,020","Collingsworth County","Race: Tax Assessor-Collector","CHISM SHARON HENARD","R","N","1,020",100
"418","1","Colorado County","Race: Constable Pct. 1","RICHARD J LACOURSE","R","I","1",100
"419","1","Colorado County","Race: Constable Pct. 2","LONNIE L. HINZE","R","I","1",100
"420","1","Colorado County","Race: Constable Pct. 3","IVAN V. MENKE","R","I","1",100
"421","1","Colorado County","Race: Constable Pct. 4","DARRELL STANCIK","R","I","1",100
"422","1","Colorado County","Race: County Commissioner Pct. 1","DOUG WESSELS","R","I","1",100
"423","1","Colorado County","Race: County Commissioner Pct. 3","KEITH NEUENDORFF","R","N","1",100
"424","1","Colorado County","Race: District/County Attorney","JAY JOHANNES","R","I","1",100
"425","1","Colorado County","Race: Sheriff","R. H. ""CURLY"" WEID","R","I","1",100
"426","1","Colorado County","Race: Tax Assessor-Collector","ERICA KOLLAJA","R","N","1",100
"427","19,299","Comal County","Race: Constable Pct. 1","CHARLES MOTZ","R","N","19,299",100
"428","20,731","Comal County","Race: Constable Pct. 2","MARK CHEATUM","R","I","20,731",100
"429","10,786","Comal County","Race: Constable Pct. 3","JOSEPH ACKERMAN","R","I","10,786",100
"430","19,756","Comal County","Race: Constable Pct. 4","SHANE  RAPP","R","I","19,756",100
"431","22,652","Comal County","Race: County Commissioner Pct. 1","DONNA ECCLESTON","R","I","17,142",75.6754370475013
"432","22,652","Comal County","Race: County Commissioner Pct. 1","LINDSAY POISEL","D","N","4,783",21.115133321561
"433","14,129","Comal County","Race: County Commissioner Pct. 3","COLETTE NIES","D","N","5,279",37.3628706914856
"434","14,129","Comal County","Race: County Commissioner Pct. 3","KEVIN WEBB","R","I","8,850",62.6371293085144
"435","71,195","Comal County","Race: Sheriff","MARK REYNOLDS","R","I","71,195",100
"436","70,701","Comal County","Race: Tax Assessor-Collector","KRISTEN HOYT","R","N","70,701",100
"437","1","Comanche County","Race: Constable","MARK MCDONALD","R","I","1",100
"438","1","Comanche County","Race: County Attorney","CRAIG WILLINGHAM","R","I","1",100
"439","1","Comanche County","Race: County Commissioner Pct. 1","GARY (CORKY) UNDERWOOD","R","I","1",100
"440","1","Comanche County","Race: County Commissioner Pct. 3","SHERMAN SIDES","D","I","1",100
"441","5208/12977","Comanche County","Race: District Attorney 220th Judicial District","ADAM SIBLEY","R","I","5208/12977",NA
"442","1","Comanche County","Race: Sheriff","CHRISTOPHER POUNDS","R","I","1",100
"443","1","Comanche County","Race: Tax Assessor-Collector","GRACE EVERHART","R","I","1",100
"444","1,119","Concho County","Race: Constable","STEPHEN JONES","R","I","1,119",100
"445","0","Concho County","Race: County Attorney","VACANT***","D","N","0",NA
"446","328","Concho County","Race: County Commissioner Pct. 1","TREY BRADSHAW","R","I","328",100
"447","195","Concho County","Race: County Commissioner Pct. 3","GARY R. GIERISCH","R","I","195",100
"448","1074/40248","Concho County","Race: District Attorney 119th Judicial District","JOHN H. BEST","R","I","1074/40248",NA
"449","1,108","Concho County","Race: Sheriff/Tax Assessor-Collector","CHAD MILLER","R","I","1,108",100
"450","7,808","Cooke County","Race: Constable Pct. 1","MARK WESTBROOK","R","N","7,808",100
"451","9,437","Cooke County","Race: Constable Pct. 2","CHUCK OWEN","R","N","9,437",100
"452","17,206","Cooke County","Race: County Attorney","ED ZIELINSKI","R","I","17,206",100
"453","4,103","Cooke County","Race: County Commissioner Pct. 1","GARY HOLLOWELL","R","I","4,103",100
"454","3,591","Cooke County","Race: County Commissioner Pct. 3","ADAM P. ARENDT","R","N","3,591",100
"455","17196/17196","Cooke County","Race: District Attorney 235th Judicial District","JOHN WARREN","R","I","17196/17196",NA
"456","7,807","Cooke County","Race: Justice of the Peace Pct. 1","JOHN (JODY) HENRY","R","N","7,807",100
"457","17,265","Cooke County","Race: Sheriff","RAY SAPPINGTON","R","N","17,265",100
